Dir_Project,RunName,metaD_Desc,metaD_DateNew,metaD_DateOld,metaD_MethodNew,metaD_MethodOld,metaD_NoteNew,metaD_NoteOld,userFilePref,bin_LowerLimits,bin_UpperLimits,bin_increment,button_Step1a,button_Step1b,button_Step1c,button_Step1d,button_Step2a,button_Step2b,button_Step2c,thresholdNew,thresholdOld,button_Step3a,button_Step3b,button_Step3c,button_Step3d,button_Step3e,lowe,upe,lowd,upd,button_Step5a,button_Step5b,button_Step5c,button_Step5d,threshold,button_Step2b_6,button_Step2b_1_count0,button_Step2b_2_count0,button_Step2b_3_count0,button_Step2b_4_count0,button_Step2b_5_count0,button_Step2b_1_count1,button_Step2b_2_count1,button_Step2b_3_count1,button_Step2b_4_count1,button_Step2b_5_count1,filename_FIS_Slope_count0,filename_FIS_PD_count0,filename_FIS_Rough_count0,filename_FIS_PQ_count0,filename_FIS_WetDry_count0,filename_FIS_Slope_count1,filename_FIS_PD_count1,filename_FIS_Rough_count1,filename_FIS_PQ_count1,filename_FIS_WetDry_count1,CI,button_Step4a,button_Step4b,button_Step4c,filename_NbrhoodEros,filename_NbrhoodDepos,filename_FIS_New,filename_FIS_Old,filename_GeomorphNew,filename_GeomorphOld, filename_NewDEM, filename_OldDEM,filename_DoD 
D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek,PW4_0.90CI,Gross DoD (PW4 uncertainty analysis),2006,2005,GPS & TS,TS,Following New Years Flood (February),Prior to New Years Flood (January),1,-2.5,2.5,0.05,Existing DoD,NA,Continue,More Sophisticated,Spatially Variable,Load Existing FIS,NA,0.2,0.2,Do Spatial Coherence Analysis,Existing Grid,NA,Yes,Yes,15,25,15,25,Skip,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,Save thresholded DoDs,Do Analysis,Do Analysis,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_eros.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_depos.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2006_FIS.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2005_FIS.asc,NA,NA,NA,NA,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\2006 Feb-2005 Dec_DoD.asc
D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek,PW4_0.85CI,Gross DoD (PW4 uncertainty analysis),2006,2005,GPS & TS,TS,Following New Years Flood (February),Prior to New Years Flood (January),1,-2.5,2.5,0.05,Existing DoD,NA,Continue,More Sophisticated,Spatially Variable,Load Existing FIS,NA,0.2,0.2,Do Spatial Coherence Analysis,Existing Grid,NA,Yes,Yes,15,25,15,25,Skip,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,Save thresholded DoDs,Do Analysis,Do Analysis,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_eros.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_depos.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2006_FIS.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2005_FIS.asc,NA,NA,NA,NA,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\2006 Feb-2005 Dec_DoD.asc
D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek,PW4_0.80CI,Gross DoD (PW4 uncertainty analysis),2006,2005,GPS & TS,TS,Following New Years Flood (February),Prior to New Years Flood (January),1,-2.5,2.5,0.05,Existing DoD,NA,Continue,More Sophisticated,Spatially Variable,Load Existing FIS,NA,0.2,0.2,Do Spatial Coherence Analysis,Existing Grid,NA,Yes,Yes,15,25,15,25,Skip,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,Save thresholded DoDs,Do Analysis,Do Analysis,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_eros.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_depos.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2006_FIS.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2005_FIS.asc,NA,NA,NA,NA,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\2006 Feb-2005 Dec_DoD.asc
D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek,PW4_0.75CI,Gross DoD (PW4 uncertainty analysis),2006,2005,GPS & TS,TS,Following New Years Flood (February),Prior to New Years Flood (January),1,-2.5,2.5,0.05,Existing DoD,NA,Continue,More Sophisticated,Spatially Variable,Load Existing FIS,NA,0.2,0.2,Do Spatial Coherence Analysis,Existing Grid,NA,Yes,Yes,15,25,15,25,Skip,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,Save thresholded DoDs,Do Analysis,Do Analysis,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_eros.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_depos.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2006_FIS.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2005_FIS.asc,NA,NA,NA,NA,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\2006 Feb-2005 Dec_DoD.asc
D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek,PW4_0.70CI,Gross DoD (PW4 uncertainty analysis),2006,2005,GPS & TS,TS,Following New Years Flood (February),Prior to New Years Flood (January),1,-2.5,2.5,0.05,Existing DoD,NA,Continue,More Sophisticated,Spatially Variable,Load Existing FIS,NA,0.2,0.2,Do Spatial Coherence Analysis,Existing Grid,NA,Yes,Yes,15,25,15,25,Skip,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,Save thresholded DoDs,Do Analysis,Do Analysis,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_eros.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_depos.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2006_FIS.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2005_FIS.asc,NA,NA,NA,NA,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\2006 Feb-2005 Dec_DoD.asc
D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek,PW4_0.68CI,Gross DoD (PW4 uncertainty analysis),2006,2005,GPS & TS,TS,Following New Years Flood (February),Prior to New Years Flood (January),1,-2.5,2.5,0.05,Existing DoD,NA,Continue,More Sophisticated,Spatially Variable,Load Existing FIS,NA,0.2,0.2,Do Spatial Coherence Analysis,Existing Grid,NA,Yes,Yes,15,25,15,25,Skip,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,Save thresholded DoDs,Do Analysis,Do Analysis,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_eros.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_depos.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2006_FIS.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2005_FIS.asc,NA,NA,NA,NA,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\2006 Feb-2005 Dec_DoD.asc
D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek,PW4_0.65CI,Gross DoD (PW4 uncertainty analysis),2006,2005,GPS & TS,TS,Following New Years Flood (February),Prior to New Years Flood (January),1,-2.5,2.5,0.05,Existing DoD,NA,Continue,More Sophisticated,Spatially Variable,Load Existing FIS,NA,0.2,0.2,Do Spatial Coherence Analysis,Existing Grid,NA,Yes,Yes,15,25,15,25,Skip,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,Save thresholded DoDs,Do Analysis,Do Analysis,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_eros.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_depos.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2006_FIS.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2005_FIS.asc,NA,NA,NA,NA,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\2006 Feb-2005 Dec_DoD.asc
D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek,PW4_0.60CI,Gross DoD (PW4 uncertainty analysis),2006,2005,GPS & TS,TS,Following New Years Flood (February),Prior to New Years Flood (January),1,-2.5,2.5,0.05,Existing DoD,NA,Continue,More Sophisticated,Spatially Variable,Load Existing FIS,NA,0.2,0.2,Do Spatial Coherence Analysis,Existing Grid,NA,Yes,Yes,15,25,15,25,Skip,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,Save thresholded DoDs,Do Analysis,Do Analysis,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_eros.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_depos.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2006_FIS.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2005_FIS.asc,NA,NA,NA,NA,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\2006 Feb-2005 Dec_DoD.asc
D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek,PW4_0.55CI,Gross DoD (PW4 uncertainty analysis),2006,2005,GPS & TS,TS,Following New Years Flood (February),Prior to New Years Flood (January),1,-2.5,2.5,0.05,Existing DoD,NA,Continue,More Sophisticated,Spatially Variable,Load Existing FIS,NA,0.2,0.2,Do Spatial Coherence Analysis,Existing Grid,NA,Yes,Yes,15,25,15,25,Skip,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,Save thresholded DoDs,Do Analysis,Do Analysis,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_eros.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_depos.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2006_FIS.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2005_FIS.asc,NA,NA,NA,NA,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\2006 Feb-2005 Dec_DoD.asc
D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek,PW4_0.50CI,Gross DoD (PW4 uncertainty analysis),2006,2005,GPS & TS,TS,Following New Years Flood (February),Prior to New Years Flood (January),1,-2.5,2.5,0.05,Existing DoD,NA,Continue,More Sophisticated,Spatially Variable,Load Existing FIS,NA,0.2,0.2,Do Spatial Coherence Analysis,Existing Grid,NA,Yes,Yes,15,25,15,25,Skip,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,Save thresholded DoDs,Do Analysis,Do Analysis,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_eros.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\Nbr\2006-2005_nbr_depos.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2006_FIS.asc,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\FIS\2005_FIS.asc,NA,NA,NA,NA,D:\Docs\Projects\Feshie\DCM\Matlab\SedimentBudget_2\Projects\SulphurCreek\Input\2006 Feb-2005 Dec_DoD.asc
